    Site of Sample,Date of Sample,Notes,Jar/Bag/Vial,IDer,Date of ID,Geometrid,Notodontid,Pyralid,Crambid,Pyraloidea,Erebid,Cossidae,Lasiocampid,Noctuid,Pterophoridae,Nolidae (2021 and 2022 they were counted as pyraloidea),Sphingid,Saturniidae,Species1 ,Species2,Species3 ,Species4,Small Lepidoptera,Total Lepidoptera,Unknown Lepidoptera,Coleoptera,Diptera,Hymenop:Bees,Hymenop:Ants,Hymenop:Wasps,Hymenop:Total,Hemiptera,Trichoptera,Thysanoptera,Neuroptera,Orthoptera,Ephemeroptera,Plecoptera,Dermaptera,Collembola,Protura,Psocodea,Raphidoptera,Phthiraptera,Megaloptera,Arachnids,Unknown
IRON01,7/5/2022,,JAR,Abigail Bower,n/a,3,4,0,1,1,25,2,1,7,2,-,23,1,13,10,24,0,5,74,0,0,20,0,0,2,2,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,11
LONG02,7/11/2022,,JAR,Abigail Bower,n/a,9,7,1,3,4,5,2,22,23,9,-,24,0,11,13,5,0,18,114,0,1,15,0,0,1,2,1,4,0,0,0,0,18,0,0,0,0,0,0,0,0,18
LONG02,7/5/2022,2-Jan,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,7/18/2022,,JAR,Abigail Bower,n/a,3,9,0,0,0,3,1,3,3,20,-,2,0,2,0,3,0,3,92,0,0,10,0,0,6,6,7,5,0,0,0,0,18,0,0,0,0,1,0,0,0,1
VIZC04,7/18/2022,,JAR,Jesse Homza,n/a,4,0,1,1,2,4,0,2,7,0,-,3,0,3,0,1,0,29,51,0,8,1025,0,1,9,10,4,48,3,0,0,0,0,0,0,0,0,0,0,0,3,0
IRON01,7/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,7/11/2022,,JAR,Abigail Bower,n/a,2,7,2,8,10,6,0,5,34,10,-,12,0,9,3,3,0,11,142,0,0,33,0,2,5,7,3,11,1,0,0,0,2,0,0,0,0,0,0,0,1,1
VISC02,7/18/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG05,7/20/2022,,JAR,Abigail Bower,n/a,5,3,15,20,35,2,0,16,63,20,-,7,0,2,5,2,0,113,272,1,8,40,0,7,28,35,22,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0
LONG03,7/18/2022,,JAR,Abigail Bower,n/a,0,17,2,5,7,26,0,23,48,6,-,22,0,13,9,23,0,10,164,2,2,30,0,1,0,2,22,0,-,1,1,0,3,0,0,0,0,0,0,0,0,0
VIZC03,7/18/2022,,JAR,Jesse Homza,n/a,2,1,0,0,0,4,0,4,32,0,-,11,0,10,1,3,0,21,75,0,2,121,0,9,15,24,4,9,38,0,0,0,0,0,1,0,0,0,0,0,6,1
e,7/18/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG04,7/18/2022,,JAR,Jesse Homza,n/a,2,4,0,1,1,9,1,7,37,0,-,8,0,8,0,8,0,27,96,0,1,11,0,12,2,14,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
IRON04,8/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG03,8/1/2022,2-Jan,JAR,Jesse Homza,n/a,32,0,n/a,n/a,104,19,0,7,69,3,-,3,0,3,0,8,9,1065,1233,1,41,5,0,0,53,53,89,29,0,21,0,0,0,1,0,0,0,0,0,0,1,4
LONG01,8/1/2022,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG05,8/1/2022,2-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON06,8/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG04,8/1/2022,2-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC01,8/1/2022,2-Jan,no label inside jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC03,8/1/2022,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON01,8/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC01,8/1/2022,2-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC03,8/1/2022,2-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON02,8/1/2022,2-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC02,8/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,8/1/2022,2-Feb,JAR,Abigail Bower,n/a,75,4,n/a,n/a,152,90,1,14,247,99,-,1,0,1,0,7,0,413,0,0,55,16,0,0,26,26,72,50,52,6,0,0,4,11,1,0,0,0,0,0,2,5
IRON02,8/1/2022,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG03,8/1/2022,2-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG05,8/1/2022,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG02,8/1/2022,2-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG02,8/1/2022,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG04,8/1/2022,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON05,8/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC04,8/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON03,8/1/2022,2-Feb,,Abigail Bower,n/a,1,1,0,1,1,5,,1,2,0,-,25,1,20,5,5,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
IRON03,8/1/2022,2-Jan,JAR,Abigail Bower,n/a,79,13,n/a,n/a,450,113,1,6,443,130,-,1,0,1,0,9,0,485,,1,52,29,0,0,66,68,123,50,1,36,0,0,3,0,0,0,0,1,0,0,3,1
LONG02,7/5/2022,2-Feb,JAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC03,7/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC04,7/5/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISC02,7/5/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,7/5/2022,,NEEDS ETHANOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON06,7/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON01,5/7/2022,2-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON02,7/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC04,7/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON03,7/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON04,7/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON06,7/5/2022,,Jar,Abigail Bower,n/a,6,4,2,3,5,7,0,5,23,4,-,7,0,4,2,7,0,11,92,0,2,415,0,0,2,2,18,0,0,0,0,0,4,0,0,0,0,0,0,0,1,
LONG03,7/26/2022,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC04,7/26/2022,,Jar,Jesse Homza,n/a,2,0,3,2,5,7,1,9,39,0,-,0,0,0,0,1,0,98,161,0,43,2532,2,4,41,47,16,88,2,0,0,0,0,0,0,0,0,0,0,0,3,1
LONG05,7/26/2022,2-Feb,JAR,Jesse Homza,n/a,18,3,n/a,n/a,61,8,2,33,81,5,-,6,0,6,0,2,0,169,386,0,5,19,0,0,21,21,15,6,0,1,1,0,0,0,0,0,0,0,0,0,3,0
LONG01,7/26/2022,,JAR,Abigail Bower,n/a,46,6,n/a,n/a,37,22,1,23,161,45,-,16,0,13,3,17,0,154,617,1,6,21,0,0,29,29,29,34,3,1,0,0,1,0,0,0,0,0,0,0,2,0
LONG05,7/26/2022,2-Jan,,Jesse Homza,n/a,36,0,56,17,73,10,1,64,202,5,-,2,0,2,0,6,0,637,1036,0,11,456,0,1,55,56,52,18,4,12,0,0,0,0,0,0,0,0,0,0,7,0
IRON01,7/26/2022,,Jar,Abigail Bower,n/a,31,7,n/a,n/a,73,8,3,7,136,62,-,2,0,2,0,6,0,669,1005,0,33,108,0,0,112,112,99,35,0,2,0,0,0,0,0,0,0,0,0,0,0,2
LONG02,7/26/2022,2-Feb,JAR,Jesse Homza,n/a,1,0,0,0,0,3,0,0,6,0,-,11,0,11,0,1,1,1,22,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRON04,7/26/2022,,Jar,Jesse Homza,n/a,6,0,11,5,16,9,0,5,54,0,-,1,0,1,0,2,1,112,204,0,2,803,2,0,24,26,5,0,7,1,0,0,0,0,0,0,0,0,0,0,8,0
IRON02,7/26/2022,,JAR,Abigail Bower,n/a,7,19,2,2,4,21,0,8,106,40,-,3,0,3,0,21,0,37,255,3,4,1940,0,0,14,14,23,11,0,0,0,0,19,0,0,0,0,0,0,0,1,2
IRON06,7/26/2022,,JAR,Jesse Homza,n/a,16,0,26,10,36,24,1,15,101,0,-,3,0,2,1,4,0,234,430,3,4,1115,0,0,48,48,22,30,12,4,0,0,0,0,0,0,0,0,0,1,53,1
IRON05,7/26/2022,,Jar,Jesse Homza,n/a,12,0,11,7,18,23,1,10,94,2,-,1,0,0,1,3,0,174,337,2,9,743,0,0,47,47,6,11,8,0,0,0,0,0,0,0,0,0,0,2,8,1
LONG03,7/26/2022,2-Feb,,Jesse Homza,n/a,3,0,2,0,2,2,1,0,5,1,-,12,0,12,0,6,0,44,80,0,1,61,0,0,7,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIZC03,7/26/2022,,JAR,Abigial Bower,n/a,17,22,1,3,4,2,0,15,134,102,-,10,0,10,0,1,0,20,,0,7,596,0,3,33,36,9,42,0,0,0,0,62,0,0,0,0,0,0,0,,
LONG02,7/26/2022,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG04,7/26/2022,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC01,7/26/2022,,Jar,Jesse Homza,n/a,5,6,11,8,19,13,0,25,156,0,-,13,0,12,1,8,1,105,345,1,8,364,3,0,14,17,12,15,2,1,0,0,0,0,0,0,0,0,0,0,12,1
VIZC02,7/26/2022,,Jar,Jesse Homza,n/a,27,0,6,0,6,14,3,6,178,0,-,3,0,3,0,3,0,245,482,0,15,1497,0,1,38,39,166,51,1,1,0,0,0,4,0,0,0,0,0,0,5,1
LONG04,7/26/2022,2-Feb,JAR,Greta Holliday,n/a,37,2,n/a,n/a,59,18,3,14,209,8,-,12,0,11,1,1,0,166,528,0,3,166,1,4,34,39,30,15,37,9,0,0,0,1,0,0,0,0,0,0,4,0
IRON04,8/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON02,8/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON06,7/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC01,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG04,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON03,6/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON04,6/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG02,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG03,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG05,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC03,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG04,6/27/2022,no tag inside bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC02,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON05,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON01,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC04,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON06,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON02,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG03,7/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON04,7/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON05,7/28/2021,dry- needs ethanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVTest01,8/2/2021,"Note on bag says ""Bucket trap vanes + light tilted sideways""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON06,7/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON01,6/24/2021,"note on bag says ""91 moths""",Jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON03,6/24/2021,"Note on bag says ""120 moths""",JAR,Greta Holliday,n/a,0,0,3,0,3,0,0,0,0,0,-,0,0,0,0,0,0,43,46,0,4,38,0,0,3,3,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
VIZC03,6/29/2021,,JAR,Abigial Bower,n/a,16,6,0,1,1,0,0,15,114,40,-,0,0,0,0,0,0,70,,0,3,716,0,0,19,0,271,32,0,0,0,0,70,0,0,0,0,0,0,0,0,0
LONG01,7/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC04,7/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG01,7/9/2021,Wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG02,7/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON01,7/8/2021,wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vizcaen,7/8/2021,NUMBER?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON01,7/28/2021,TWO BAGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON06,7/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON02,7/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC03,8/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC03,7/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG03,7/8/2021,no tag in bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC02,7/28/2021,Cows knocked over bucket trap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON03,7/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG03,7/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON05,7/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC02,7/29/2021,"Note says ""We just found wings and small ant like insects""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG04,7/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC04,7/21/2021,"Note says ""Trap fell over Repeat"" No tag in bag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG05,7/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG03,7/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC02,7/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC01,8/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC02,8/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON02,7/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZC04,7/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON01,7/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG05,7/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG04,7/22/2021,Note in bag says 07/23/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON043,7/26/2022,NUMBER?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG02,7/22/2022,"For Carlos, duplicate or 1/2",JAR,Abigail Bower,n/a,62,51,19,16,35,19,0,34,40,-,-,7,0,4,3,9,7,64,886,12,5,84,0,9,24,27,4,223,-,0,-,0,-,0,0,0,0,0,0,0,1,15
LONG05,6/22/2021,duplicate or 1/2,JAR,Greta Holliday ,n/a,2,0,9,9,18,7,0,0,18,1,-,0,0,0,0,6,0,47,93,0,1,44,0,0,3,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LONG04,6/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG05,6/22/2021,duplicate or 2/2,JAR,Jesse Homza,n/a,20,2,27,43,70,34,3,4,195,0,-,0,0,5,0,18,0,367,705,7,5,80,0,0,14,14,19,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LONG02,6/22/2021,duplicate or 2/2,JAR,Jesse Homza,n/a,3,1,0,1,1,16,1,3,68,0,-,20,0,16,4,11,0,14,129,2,0,46,0,1,2,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRON03,6/24/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON05,6/24/2021,,JAR,Jesse Homza,n/a,11,0,1,1,2,1,0,4,20,0,-,0,0,1,0,5,0,22,67,1,0,15,0,0,5,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IRON06,6/24/2021,,JAR,Jesse Homza,n/a,4,3,4,8,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON02,6/24/2021,,JAR,Jesse Homza,n/a,19,0,18,10,28,27,5,4,74,5,-,9,9,4,0,19,0,277,449,6,6,315,1,1,23,25,14,29,0,0,0,0,0,0,0,1,0,0,0,0,0,3
